400, PA5-E-Debug-Output.txt
 -112.6304,   140.0262,   -40.3412,     2.5057,   -88.4503,    11.6892
   -3.3949   -10.6546    27.7028    -3.1231   -10.9215    27.6976     0.3809
    8.6045    19.4137    50.4304     8.7813    19.0463    50.6187     0.4491
   15.5028     1.8894   -30.3324    15.3481     2.2887   -30.3775     0.4306
   -8.7647    -8.2865    37.5663    -8.4560    -8.6797    37.6204     0.5028
   -7.5816     0.4367    60.3557    -7.2073    -0.1480    60.4882     0.7068
  -17.3248     1.7423    12.9496   -17.2396     1.5140    13.1327     0.3048
  -22.2903   -30.5707   -22.1090   -22.1618   -30.5378   -22.1894     0.1552
   18.1495    -8.3873     8.0469    18.2981    -8.3197     7.9148     0.2099
   18.7308    -0.5205    61.8363    19.1314    -0.9281    61.7940     0.5730
  -10.8664   -10.5443    11.8761   -10.6903   -10.7230    11.9118     0.2534
   -3.1550    -6.1501    64.5599    -2.7037    -6.7442    64.6096     0.7477
   23.1922     9.7399    24.4300    23.2982     9.7069    24.4298     0.1110
  -38.0976   -13.8672   -47.1299   -38.2493   -13.7147   -46.9779     0.2634
  -16.9635   -28.2900   -37.7904   -16.9416   -28.0762   -37.8926     0.2380
   -8.6730    -5.0778   -39.2061    -8.8349    -4.7781   -39.1617     0.3435
   -0.0110    17.1365    38.2728     0.1093    16.8146    38.4904     0.4067
  -15.2311     3.8138    -3.3252   -15.2557     3.7481    -3.1454     0.1930
  -14.4538     4.5886    -1.5705   -14.4738     4.5133    -1.3881     0.1984
   14.5089    -9.7695     4.7022    14.6472    -9.6990     4.5798     0.1977
   -8.1677   -12.0359     4.9554    -8.0193   -12.1336     4.9577     0.1777
   19.7375     1.5406    53.6901    20.0752     1.2148    53.6553     0.4706
  -34.7820   -29.1704   -32.7880   -34.7312   -29.1313   -32.7820     0.0644
   22.0568   -10.0723     0.3541    22.1751    -9.9081     0.1790     0.2677
  -16.1517   -26.1278   -40.4418   -16.1615   -25.8830   -40.5318     0.2610
   15.8093   -13.6645    -5.3846    15.9196   -13.4960    -5.5537     0.2629
    9.2595     4.8388   -23.1388     9.1215     5.1298   -23.1154     0.3228
   20.7050   -11.4615   -14.7301    20.7459   -11.1723   -14.9159     0.3462
   20.0239    -3.9876    32.0617    20.2787    -4.1199    31.9670     0.3023
   -7.0385     2.5617   -24.3911    -7.1726     2.7443   -24.2843     0.2505
  -28.6437     7.4740   -32.7696   -28.8728     7.5778   -32.4871     0.3783
  -17.0844     2.8946    -9.9995   -17.1413     2.8751    -9.8190     0.1903
   18.8981    -9.7968     1.4058    19.0192    -9.6649     1.2536     0.2350
   18.9873   -11.5502    -3.4889    19.0935   -11.3746    -3.6591     0.2666
   14.7053     0.2190   -26.8628    14.5833     0.5803   -26.9156     0.3850
   19.6331     2.6509    61.9429    20.0102     2.2507    61.9222     0.5503
   -9.1524     6.8282    63.5726    -8.8092     6.2067    63.7717     0.7373
   -2.8102     0.1511   -24.3984    -2.9241     0.3631   -24.3392     0.2479
    0.4288    15.5789   -13.5762     0.2602    15.7257   -13.3995     0.2850
   25.3999     7.2003    17.9908    25.4889     7.2398    17.9516     0.1049
   18.9803    -1.8980    52.8093    19.3391    -2.2234    52.7493     0.4881
   -9.8190   -12.3498   -45.5612    -9.9623   -12.0053   -45.5753     0.3734
  -10.0905   -15.6822   -43.5719   -10.1966   -15.3594   -43.6120     0.3421
