400, PA5-F-Debug-Output.txt
  -10.3658,    11.3366,    -3.7205,    -4.5358,    -6.7626,    -3.2128
   -2.5756   -13.6906     8.9877    -2.5302   -13.6840     8.9812     0.0463
   20.3868     8.1139    64.7205    20.6658     8.0806    64.6395     0.2924
   -7.4750    -9.3111    38.1901    -7.3054    -9.3335    38.2120     0.1725
    2.9632    -3.1967   -24.2967     2.8589    -3.1570   -24.3217     0.1144
    2.7457    18.4788    -3.1948     2.7219    18.4992    -3.1972     0.0315
  -30.5107     2.7827   -14.4346   -30.5789     2.7975   -14.3074     0.1451
    0.1893    22.1432    23.4588     0.2793    22.1381    23.4737     0.0913
    9.6794    -2.5264   -21.3849     9.5881    -2.4862   -21.4382     0.1131
   -4.7415     7.2769   -14.5370    -4.8096     7.3041   -14.5180     0.0758
  -10.3752   -28.6191   -30.7577   -10.4959   -28.5800   -30.7479     0.1272
   23.8692    -9.9652     6.6349    23.9052    -9.9439     6.5163     0.1258
   32.5552    17.5075    10.7323    32.5957    17.5293    10.6007     0.1394
  -34.8296   -27.7121   -28.3785   -34.9431   -27.6868   -28.2611     0.1652
  -21.0522   -18.3816    -6.8165   -21.0751   -18.3693    -6.7485     0.0728
   30.0125   -11.7998    -2.7965    30.0091   -11.7669    -2.9446     0.1517
    2.2637    -9.0266    37.4455     2.4310    -9.0437    37.4252     0.1693
  -31.2991   -29.8285   -24.8693   -31.3958   -29.8048   -24.7688     0.1414
   -9.4092     0.8908    49.2712    -9.1969     0.8574    49.3118     0.2187
    2.7503   -12.1496    11.9918     2.8085   -12.1433    11.9637     0.0649
   30.7240     5.0935    29.3935    30.8519     5.0974    29.2608     0.1843
   43.0320     7.3618    10.7843    43.0790     7.3885    10.5980     0.1940
   33.9093    -8.9740   -21.3740    33.8240    -8.9223   -21.5386     0.1925
   27.8930    -9.8275     7.9649    27.9351    -9.8054     7.8290     0.1440
   42.0368     2.1946    13.5553    42.0985     2.2184    13.3690     0.1976
   20.1571    14.9244   -33.7960    20.0038    14.9811   -33.8808     0.1841
   21.6801   -12.9061     0.9560    21.6927   -12.8806     0.8436     0.1159
   -3.2011    -9.4241    38.1637    -3.0311    -9.4445    38.1669     0.1712
   -4.8953   -20.8690   -29.5379    -5.0141   -20.8284   -29.5449     0.1258
  -41.6364   -19.1812   -22.0436   -41.7274   -19.1649   -21.8883     0.1807
   -8.1222    -6.3969    46.5315    -7.9179    -6.4272    46.5598     0.2085
  -17.2850     1.1683    -3.7681   -17.3044     1.1796    -3.6988     0.0729
   23.3795    -0.6861   -26.5394    23.2662    -0.6346   -26.6513     0.1673
   27.7218   -13.7467   -18.8443    27.6493   -13.7003   -18.9859     0.1657
   14.7956    -0.7106   -20.0233    14.7098    -0.6692   -20.0971     0.1205
   -5.1134   -22.3448   -34.9919    -5.2552   -22.2993   -34.9999     0.1491
  -26.4805   -31.6467   -28.6881   -26.5924   -31.6171   -28.6106     0.1392
   -7.2581   -23.4212   -18.0661    -7.3259   -23.3922   -18.0639     0.0738
   -2.5072   -12.6833   -37.8218    -2.6661   -12.6339   -37.8329     0.1667
   -1.9161     6.7534   -17.4217    -1.9962     6.7846   -17.4159     0.0862
  -35.4881    -1.2503   -14.8160   -35.5563    -1.2375   -14.6707     0.1610
  -25.1845   -26.2214   -39.3811   -25.3455   -26.1814   -39.3056     0.1823
  -27.8374     1.0719   -36.8753   -28.0019     1.1084   -36.7637     0.2022
   34.5431    16.3477    10.5912    34.5838    16.3706    10.4499     0.1488
   35.1141    -6.8596   -22.8643    35.0213    -6.8059   -23.0324     0.1994
    5.2308   -14.0152     1.1466     5.2430   -13.9978     1.1049     0.0468
   -3.5651   -12.1952   -40.2549    -3.7349   -12.1440   -40.2612     0.1774
   -3.0327    20.3329     7.6567    -3.0108    20.3407     7.6823     0.0345
   -7.7652   -27.4413   -32.3901    -7.8933   -27.3995   -32.3908     0.1348
  -12.9773   -28.3028   -16.1681   -13.0349   -28.2782   -16.1451     0.0667
   -4.0320    17.2161    45.0533    -3.8460    17.1892    45.0846     0.1906
  -12.5970     6.1258     6.0960   -12.5756     6.1304     6.1504     0.0587
  -26.4631    -3.2952   -41.0285   -26.6433    -3.2542   -40.9272     0.2108
   27.7520    -6.4044    21.3680    27.8506    -6.3947    21.2372     0.1641
   19.6779   -15.0054    -0.3565    19.6856   -14.9797    -0.4622     0.1090
   27.6761    12.9045    29.8801    27.8017    12.9066    29.7677     0.1686
   20.5283    -3.1811   -22.3929    20.4341    -3.1348   -22.4942     0.1459
  -10.8258    20.7546    16.4626   -10.7667    20.7506    16.5235     0.0849
  -37.8919   -21.1341   -14.1531   -37.9472   -21.1232   -14.0149     0.1492
  -16.0021   -18.6969   -43.0534   -16.1820   -18.6491   -43.0116     0.1908
   -4.9887    20.0907    31.5427    -4.8630    20.0757    31.5792     0.1317
   -1.0634    -9.2159    36.6270    -0.9000    -9.2339    36.6209     0.1645
   44.2586     0.2797    10.7730    44.3095     0.3070    10.5751     0.2062
   39.0823     8.2283   -10.3892    39.0364     8.2725   -10.5598     0.1821
   18.7204    -9.5519    11.2104    18.7755    -9.5372    11.1151     0.1111
   -8.8116    20.5343    23.3732    -8.7221    20.5250    23.4259     0.1042
   -2.0584    -8.2237   -40.0190    -2.2291    -8.1720   -40.0284     0.1786
   24.5844   -13.3016    -0.4444    24.5914   -13.2735    -0.5700     0.1288
    5.9816    17.1594   -10.4877     5.9270    17.1880   -10.5062     0.0643
   28.1993    20.2075   -21.3143    28.0985    20.2566   -21.4280     0.1597
    7.8384    23.3486     0.0109     7.8266    23.3685    -0.0090     0.0306
    7.4593    22.1646     7.2898     7.4797    22.1778     7.2713     0.0305
  -39.5264   -13.0696   -36.0173   -39.6811   -13.0394   -35.8673     0.2176
   29.2544     6.8268   -32.1573    29.1134     6.8863   -32.2887     0.2017
    9.4756    17.9760   -15.6438     9.3986    18.0111   -15.6773     0.0910
    2.6381   -15.4449    -7.4776     2.6132   -15.4208    -7.5102     0.0476
   -9.9691   -14.8892    -2.9284    -9.9758   -14.8752    -2.9051     0.0280
