400, PA5-J-Unknown-Output.txt
   13.8920,   -10.7430,     7.1381,     8.8698,     2.7237,    -2.7372
   24.8688    19.1429    -1.5330    25.0125    19.0146    -1.4726     0.2018
    1.2223    30.2133    31.1425     1.4319    30.1428    31.2322     0.2387
  -32.0531    10.3114   -23.1304   -31.9727    10.5760   -23.0944     0.2788
  -32.1784    11.0782   -33.2313   -32.0947    11.3699   -33.1936     0.3058
  -24.1593   -16.8709   -52.3783   -24.2426   -16.5821   -52.4137     0.3027
   -0.2829    -8.7039    25.0311    -0.3054    -8.7565    25.0196     0.0584
  -30.6177   -31.4558   -39.0029   -30.7871   -31.1659   -39.0759     0.3437
   31.1801     8.0656   -14.4957    31.2574     7.9316   -14.4643     0.1579
    6.1882    -7.7789    48.0972     6.1747    -7.9297    48.0887     0.1516
   12.4772    26.0264    11.6250    12.6614    25.9388    11.7035     0.2185
  -41.2619   -25.4808   -22.7486   -41.3956   -25.1688   -22.8057     0.3442
    9.6025    25.1983    12.5503     9.7815    25.1253    12.6267     0.2078
    1.5942   -14.7540     6.4661     1.5338   -14.7707     6.4383     0.0685
  -37.6581   -26.6339   -17.4420   -37.7975   -26.3573   -17.5019     0.3155
  -32.6489   -34.1895   -31.3232   -32.8340   -33.9079   -31.4031     0.3463
   13.4956     5.2622    63.5795    13.5624     5.0301    63.6055     0.2429
  -15.7695    -8.3086     0.0034   -15.7948    -8.2042    -0.0081     0.1081
   13.5504     5.9100   -20.1250    13.6116     5.8950   -20.0996     0.0680
  -34.2873   -27.6700   -40.1633   -34.4349   -27.3546   -40.2265     0.3539
    6.0822    15.9466    60.3746     6.2110    15.7688    60.4282     0.2261
   17.0033    19.9782    36.1724    17.1550    19.7990    36.2359     0.2433
  -32.4591   -15.6333   -50.7743   -32.5361   -15.2991   -50.8066     0.3445
  -40.9124   -13.9188   -41.9810   -40.9795   -13.5569   -42.0086     0.3691
  -28.9421   -27.4296    -8.6645   -29.0839   -27.2276    -8.7262     0.2543
   -3.7049    -2.3728    53.7448    -3.6871    -2.4785    53.7505     0.1073
  -23.8063     2.5116   -49.0890   -23.7740     2.7932   -49.0738     0.2838
    0.8593    -8.9797    62.6196     0.8395    -9.1367    62.6084     0.1587
  -12.3601   -28.5317   -11.2700   -12.5064   -28.4217   -11.3343     0.1939
    2.6014   -18.1760   -11.9746     2.5188   -18.1513   -12.0118     0.0939
   26.5922    -3.4511   -23.7258    26.5993    -3.5359   -23.7247     0.0851
   28.5604    -3.0494     7.1184    28.5737    -3.2260     7.1215     0.1771
    1.2482    -3.5499   -21.8652     1.2512    -3.4890   -21.8647     0.0610
    4.1972   -12.7797   -18.5574     4.1461   -12.7465   -18.5807     0.0652
    3.5615   -12.0549    14.8140     3.5184   -12.1044    14.7935     0.0687
    6.9092    20.3629    50.3237     7.0633    20.2070    50.3885     0.2286
   14.3442    27.1442    22.5575    14.5365    27.0174    22.6392     0.2445
   -1.6966    14.3321    44.9336    -1.5802    14.2403    44.9824     0.1561
    3.1038   -16.3932   -15.0777     3.0315   -16.3632   -15.1104     0.0848
    8.7162    -8.6076    20.0576     8.6950    -8.7007    20.0463     0.0962
   -8.4590    10.2356   -19.2794    -8.3752    10.3500   -19.2431     0.1463
    0.2338    -6.8133   -22.4582     0.2172    -6.7453   -22.4661     0.0704
    1.4832    10.7216     3.3757     1.5739    10.7182     3.4141     0.0985
  -15.8723     7.4736   -45.6999   -15.8090     7.7002   -45.6717     0.2369
    8.2171    26.2439    20.1865     8.4029    26.1595    20.2657     0.2189
    8.7250   -13.8980     2.8044     8.6704   -13.9474     2.7789     0.0779
   -9.3062    -7.7048     6.5162    -9.3262    -7.6556     6.5066     0.0541
   16.0415    26.6671    22.1506    16.2312    26.5312    22.2311     0.2469
   -5.4625   -14.4841   -34.8199    -5.5269   -14.3516   -34.8483     0.1501
   13.7799    26.9514    21.7102    13.9709    26.8301    21.7914     0.2404
    5.1418    -8.0113    35.0373     5.1253    -8.1220    35.0279     0.1123
    8.6602    21.8327    11.9141     8.8189    21.7664    11.9817     0.1848
   -0.9373   -25.8059   -24.4950    -1.0672   -25.7290   -24.5524     0.1615
   15.7009    -1.3083   -25.2043    15.7190    -1.3242   -25.1978     0.0249
  -26.0425   -35.8737   -32.8731   -26.2369   -35.6277   -32.9573     0.3246
   16.1609    -1.3817   -25.5248    16.1786    -1.3995   -25.5186     0.0259
  -19.0766     5.5654   -47.2521   -19.0253     5.8147   -47.2289     0.2555
    1.6343   -18.4791   -13.3478     1.5496   -18.4451   -13.3858     0.0988
   20.1149    -5.2054    15.3237    20.1151    -5.3534    15.3212     0.1480
   27.8955    -5.2003    -9.2956    27.8941    -5.3306    -9.2986     0.1304
  -21.3515   -28.0589    -9.9661   -21.4961   -27.8988   -10.0293     0.2248
   23.3810    12.7000    21.3533    23.4887    12.5200    21.3976     0.2143
   18.4125     4.9882    43.3301    18.4762     4.7794    43.3549     0.2197
   11.2821    -6.9555    30.2365    11.2723    -7.0901    30.2298     0.1351
    7.5402    20.4440    11.6994     7.6905    20.3847    11.7633     0.1738
   11.4290     8.1337    63.6323    11.5125     7.9143    63.6658     0.2372
   -0.6207    19.1482    48.3835    -0.4751    19.0418    48.4450     0.1904
   14.9075    26.5547    -8.8523    15.0929    26.5059    -8.7730     0.2074
   22.9726    21.5904    11.9255    23.1321    21.4390    11.9927     0.2299
    0.2335    17.8969    18.0390     0.3683    17.8641    18.0964     0.1501
    3.2593    -6.0119   -20.4381     3.2481    -5.9670   -20.4439     0.0466
  -20.8049    -0.3827   -51.8312   -20.7897    -0.1123   -51.8236     0.2709
  -25.6692    -0.3435    -8.5397   -25.6496    -0.1566    -8.5309     0.1881
   23.4716     4.4227    20.0454    23.5299     4.2442    20.0682     0.1892
   23.7145    15.2104   -19.3248    23.8326    15.1345   -19.2751     0.1489
   10.9913    -6.5418    59.3994    10.9871    -6.7503    59.3946     0.2085
  -22.9106     3.8016   -48.2659   -22.8704     4.0760   -48.2474     0.2779
  -36.2365   -18.8661   -46.4246   -36.3328   -18.5213   -46.4652     0.3603
   24.0661    17.8074    11.8096    24.2032    17.6490    11.8669     0.2171
   17.7818    24.4411    25.5847    17.9590    24.2855    25.6596     0.2474
  -14.2018   -31.6945   -40.8050   -14.3705   -31.4975   -40.8784     0.2695
  -36.1342   -25.7094   -39.7047   -36.2704   -25.3838   -39.7629     0.3576
   10.2753    -7.2261    61.6486    10.2672    -7.4362    61.6421     0.2104
   -3.5726   -28.6417   -21.7634    -3.7194   -28.5568   -21.8281     0.1815
   -0.1088   -22.2854   -28.1026    -0.2180   -22.2034   -28.1510     0.1448
    2.5116    -8.6865    27.4969     2.4899    -8.7621    27.4855     0.0795
   21.5536    21.0633    17.7728    21.7104    20.9050    17.8387     0.2323
   -9.9687   -26.2784    -9.7613   -10.1010   -26.1862    -9.8196     0.1715
  -30.2948   -30.2100   -40.6158   -30.4570   -29.9175   -40.6856     0.3416
   27.7461    -1.9946   -21.3150    27.7623    -2.0923   -21.3100     0.0992
   13.7913    24.6630    33.8226    13.9701    24.5098    33.8982     0.2473
   30.7664    -1.1507     1.8096    30.7907    -1.3263     1.8175     0.1774
   17.9026    11.2219    48.4729    18.0037    11.0038    48.5141     0.2439
  -16.9540   -31.0055   -15.1277   -17.1161   -30.8587   -15.1986     0.2299
   10.9948    19.7541   -25.0734    11.1374    19.7695   -25.0122     0.1559
  -14.6360    14.3068   -34.7069   -14.5307    14.4987   -34.6606     0.2237
  -40.6856     1.8338   -37.6134   -40.6586     2.1858   -37.6000     0.3533
   17.5476    10.1451    52.3347    17.6427     9.9189    52.3732     0.2483
  -37.8835   -30.5502   -29.9533   -38.0476   -30.2404   -30.0238     0.3576
  -15.1514   -34.3682   -33.9662   -15.3353   -34.1838   -34.0464     0.2725
   16.2195    24.5511   -16.1138    16.3924    24.5131   -16.0398     0.1918
    8.5096    22.7271    12.7366     8.6737    22.6597    12.8065     0.1907
    4.7743    19.2677    13.6603     4.9174    19.2195    13.7212     0.1628
    8.8507    10.5344    -4.4415     8.9405    10.5074    -4.4037     0.1011
  -38.6173   -26.6361   -18.6612   -38.7570   -26.3506   -18.7212     0.3235
   18.5061    22.5465   -16.7223    18.6673    22.4961   -16.6535     0.1824
  -34.3238   -33.3263   -30.2646   -34.5039   -33.0374   -30.3422     0.3492
  -36.2305   -12.7151   -48.7291   -36.2905   -12.3632   -48.7537     0.3578
  -13.0296   -26.9824    -9.9308   -13.1666   -26.8717    -9.9910     0.1862
  -26.2459     1.4224   -49.5226   -26.2205     1.7194   -49.5103     0.2984
    1.9636    13.3560    61.0314     2.0766    13.2005    61.0782     0.1978
   -6.5894     4.0650   -32.6279    -6.5435     4.2018   -32.6080     0.1457
   16.8815    26.4813    -6.3398    17.0670    26.4143    -6.2606     0.2126
  -36.6643   -17.5336   -46.6464   -36.7527   -17.1854   -46.6835     0.3611
   -1.8483    -9.8608    17.3534    -1.8789    -9.8844    17.3386     0.0413
   10.3462    -6.7874    63.2852    10.3409    -7.0022    63.2799     0.2149
   10.9433   -14.0930     0.5064    10.8876   -14.1496     0.4803     0.0836
    0.4753    -9.6375    21.6400     0.4470    -9.6860    21.6259     0.0579
   10.7614    25.4776    12.8275    10.9422    25.3970    12.9046     0.2124
   12.4595    21.1547    42.9663    12.6182    20.9850    43.0331     0.2418
   -1.4883    10.0650    45.9908    -1.3971     9.9684    46.0286     0.1381
   27.7491    -3.5837   -19.2786    27.7561    -3.6870   -19.2777     0.1035
   14.8347    26.9722    10.4440    15.0247    26.8739    10.5250     0.2288
  -45.6334   -12.4144   -18.8899   -45.6896   -12.0841   -18.9130     0.3359
    4.1099    17.9384    55.0443     4.2497    17.7865    55.1029     0.2146
   -3.8869   -24.2019    -4.6481    -4.0055   -24.1587    -4.7008     0.1367
    6.4376    -7.7994    50.8948     6.4243    -7.9589    50.8864     0.1603
  -17.3094   -16.6070    -5.3883   -17.3849   -16.4809    -5.4215     0.1507
    9.9873     2.8264   -19.5579    10.0297     2.8305   -19.5406     0.0460
  -21.0131   -33.7705   -17.2278   -21.1925   -33.5946   -17.3061     0.2631
  -10.3083    24.8490    38.1503   -10.1315    24.8278    38.2261     0.1936
   -5.3827     0.5534    17.2651    -5.3519     0.5529    17.2773     0.0332
  -33.9917     5.9653   -41.2622   -33.9396     6.2877   -41.2381     0.3275
   -1.8203    14.1254    37.2681    -1.7060    14.0541    37.3162     0.1430
    4.5315    -3.1609    64.5392     4.5470    -3.3437    64.5432     0.1835
    1.4174     8.9504    -8.3666     1.4963     8.9775    -8.3332     0.0898
   25.4106    -0.3886    12.9047    25.4399    -0.5610    12.9149     0.1751
  -23.2136     7.1034   -44.5739   -23.1534     7.3706   -44.5467     0.2752
    7.3439     9.3504    -6.2798     7.4262     9.3369    -6.2452     0.0903
   26.6307    -7.4529   -10.9603    26.6155    -7.5718   -10.9693     0.1202
    9.8878    21.5337    -1.1819    10.0435    21.4940    -1.1155     0.1738
   -5.5245     1.8050    16.1427    -5.4864     1.8085    16.1581     0.0413
   13.4650    25.9451   -11.3398    13.6463    25.9113   -11.2621     0.2001
  -23.9872   -27.8806   -47.5958   -24.1354   -27.6072   -47.6596     0.3175
  -23.7548   -31.5774   -40.4741   -23.9241   -31.3245   -40.5474     0.3131
  -28.9527   -33.7027   -36.1152   -29.1349   -33.4305   -36.1939     0.3368
   18.0655    11.1930    47.5286    18.1664    10.9765    47.5697     0.2424
   -8.9009   -29.8698   -29.2925    -9.0567   -29.7339   -29.3607     0.2177
    8.6242    -7.5312    63.5484     8.6142    -7.7365    63.5411     0.2057
   -2.5569    -3.6884    48.2775    -2.5473    -3.7870    48.2796     0.0990
  -10.3722    21.6092    30.2615   -10.2155    21.6083    30.3287     0.1705
  -14.3852   -29.6139   -42.3322   -14.5417   -29.4115   -42.4002     0.2647
    4.9304    18.4789    56.0845     5.0736    18.3195    56.1445     0.2226
   25.4947    16.0310   -17.0422    25.6182    15.9388   -16.9902     0.1626
   11.7152     9.9918    -4.5567    11.8022     9.9480    -4.5203     0.1040
    6.6932    10.8209    -3.0399     6.7845    10.8031    -3.0014     0.1007
    9.9578    20.3591    48.2592    10.1120    20.1905    48.3239     0.2376
   -5.3477     4.3964   -24.3493    -5.2988     4.5044   -24.3283     0.1204
  -31.3394    -4.8610   -50.7750   -31.3522    -4.5315   -50.7792     0.3297
    8.7847    -7.1063    34.6872     8.7741    -7.2376    34.6802     0.1319
   14.0831    25.4456    29.2721    14.2661    25.3026    29.3497     0.2448
